,label,text,target,word_count,char_count,numerics,upper,bangs,flag_words,links,stp_wrd_cnt,text_corr
0,ham,jurong point crazy available bugis and great world la buffet cine got amore wat,0,20,111,0,0,0,0,0,4,jurong point crazy available bugis and great world la buffet cine got amore wat
1,ham,lar joking with oni,0,6,29,0,0,0,0,0,0,lar joking with oni
2,spam,free entry wkly comp win fa cup final tkts 21st may 2005 fa 87121 receive entry questionstd ratetcs apply 08452810075over18s,1,28,155,2,2,0,2,0,5,free entry wkly comp win fa cup final tkts 21st may 2005 fa 87121 receive entry questionstd ratetcs apply 08452810075over18s
3,ham,dun say early hor already say,0,11,49,0,2,0,0,0,2,dun say early hor already say
4,ham,nah think goes usf lives around though,0,13,61,0,1,0,0,0,5,nah think goes usf lives around though
5,spam,freemsg hey darling 3 weeks word back id like fun still tb xxx std chgs send 150 rcv,1,32,147,1,0,2,1,0,13,freemsg hey darling 3 weeks word back id like fun still tb xxx std chgs send 150 rcv
6,ham,even brother like speak treat like aids patent,0,16,77,0,0,0,0,0,6,even brother like speak treat like aids patent
7,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,0,26,160,0,0,0,0,0,9,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
8,spam,winner valued network customer selected receivea 900 prize reward claim 09061701461 claim code kl341 valid 12 hours,1,26,157,1,2,3,1,0,5,winner valued network customer selected receivea 900 prize reward claim 09061701461 claim code kl341 valid 12 hours
9,spam,mobile 11 months are entitled update latest colour mobiles camera free mobile update co free 08002986030,1,29,154,2,3,1,2,0,8,mobile 11 months are entitled update latest colour mobiles camera free mobile update co free 08002986030
10,ham,gonna home soon want talk stuff anymore tonight k ive cried enough today,0,21,109,0,0,0,0,0,7,gonna home soon want talk stuff anymore tonight k ive cried enough today
11,spam,six chances win cash 100 20000 pounds csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl info,1,26,136,2,4,1,2,0,4,six chances win cash 100 20000 pounds csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl info
12,spam,urgent 1 week free membership 100000 prize jackpot word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,1,26,155,2,7,2,3,0,7,urgent 1 week free membership 100000 prize jackpot word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
13,ham,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,0,37,196,0,1,0,0,0,19,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
14,ham,date sunday,0,8,35,0,8,2,0,0,0,date sunday
15,spam,xxxmobilemovieclub use credit cl k wap link next message cl k httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,1,19,149,0,1,0,0,3,5,xxx mobile movie club use credit cl k wap link next message cl k http wap xxx mobile movie club com nqj kgighj jg cbl
16,ham,oh kim watching,0,4,26,0,0,0,0,0,0,oh kim watching
17,ham,eh remember spell name yes v naughty make v wet,0,19,81,1,0,0,0,0,5,eh remember spell name yes v naughty make v wet
18,ham,fine thats way feel thats way gota b,0,13,56,0,0,0,0,0,4,fine thats way feel thats way gota b
19,spam,england v macedonia miss goalsteam news ur national team 87077 eg england 87077 trywales scotland 4txtú120 poboxox36504w45wq 16,1,24,155,2,2,0,0,0,3,england v macedonia miss goals team news ur national team 87077 eg england 87077 try wales scotland 4tx tú1 20 pobox ox36 50 4w4 5wq 16
20,ham,seriously spell name,0,8,41,0,0,0,0,0,4,seriously spell name
21,ham,going try months ha ha joking,0,11,47,1,0,0,0,0,3,going try months ha ha joking
22,ham,pay first lar the stock comin,0,11,52,0,0,0,0,0,2,pay first lar the stock comin
23,ham,aft finish lunch str lor ard 3 smth lor finish lunch already,0,20,88,1,1,0,0,0,5,aft finish lunch str lor ard 3 smth lor finish lunch already
24,ham,ffffffffff alright way meet sooner,0,11,57,0,1,0,0,0,5,ffff ffff ff alright way meet sooner
25,ham,forced eat sl really hungry tho sucks mark getting worried knows s k turn pizza lol,0,28,144,0,1,0,0,0,7,forced eat sl really hungry tho sucks mark getting worried knows s k turn pizza lol
26,ham,lol always convincing,0,5,30,0,0,0,0,0,2,lol always convincing
27,ham,catch bus frying egg make tea eating moms left dinner feel love,0,32,134,0,0,0,0,0,11,catch bus frying egg make tea eating moms left dinner feel love
28,ham,back amp packing car ill let know theres room,0,15,75,0,0,0,0,0,3,back amp packing car ill let know theres room
29,ham,ahhh work vaguely remember feel like lol,0,12,64,0,1,1,0,0,2,ahhh work vaguely remember feel like lol
30,ham,wait thats still clear sure sarcast thats x doesnt want live us,0,26,130,0,0,0,0,0,15,wait thats still clear sure sarcast thats x doesnt want live us
31,ham,yeah got v apologet and fallen actin like spoilt child got caught till wont badly cheers,0,42,189,1,0,2,0,0,18,yeah got v apologet and fallen actin like spoilt child got caught till wont badly cheers
32,ham,k tell anything,0,6,29,0,1,0,0,0,2,k tell anything
33,ham,fear fainting housework qu k cuppa,0,17,84,0,0,0,0,0,10,fear fainting housework qu k cuppa
34,spam,thanks subscription ringtone uk mobile charged 5month please confirm replying yes reply charged,1,29,158,0,4,0,0,0,13,thanks subscription ringtone uk mobile charged 5month please confirm replying yes reply charged
35,ham,yup home look timings msg xuhui going learn 2nd may lesson 8am,0,28,122,0,0,0,0,0,12,yup home look timings msg xuhui going learn 2nd may lesson 8am
36,ham,oops ill let know roommates done,0,9,47,0,0,0,0,0,3,oops ill let know roommates done
37,ham,letter b car,0,8,28,0,2,0,0,0,3,letter b car
38,ham,anything lor decide,0,4,27,0,1,0,0,0,0,anything lor decide
39,ham,hello hows saturday texting youd decided anything tomo trying invite anything,0,30,155,0,1,2,0,0,15,hello hows saturday texting youd decided anything tomo trying invite anything
40,ham,pls ahead watts wanted sure great weekend abiola,0,17,82,0,1,0,0,0,6,pls ahead watts wanted sure great weekend abiola
41,ham,forget tell want need crave love sweet arabian steed mmmmmm yummy,0,34,142,0,5,0,0,0,9,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,spam,07732584351 rodger burns msg tried reply sms free nokia mobile free camcorder please 08000930705 delivery tomorrow,1,33,172,2,1,0,2,0,10,07 73 25 84 35 1 rodger burns msg tried reply sms free nokia mobile free camcorder please 08000930705 delivery tomorrow
43,ham,seeing,0,4,19,0,4,0,0,0,0,seeing
44,ham,great hope like man well endowed inches,0,15,72,0,2,1,0,0,3,great hope like man well endowed inches
45,ham,callsmessagesmissed calls,0,3,32,0,0,0,0,0,0,callsmessagesmissed calls
46,ham,didnt hep b immunisation nigeria,0,8,45,0,0,0,0,0,2,didnt hep b immunisation nigeria
47,ham,fair enough anything going,0,5,31,0,0,0,0,0,0,fair enough anything going
48,ham,yeah hopefully tyler cant could maybe ask around bit,0,14,67,0,1,0,0,0,4,yeah hopefully tyler cant could maybe ask around bit
